theta_deg,frequency_hz,rayleigh_frequency_hz,eta_0,eta_m1,eta_p1,eta_total,kn_m1_real,kn_m1_imag,large_groove_probe_abs_pa
7.9,179440,177728.518665915,0.999996706503184,3.29349681148499e-06,3.59118447065685e-31,0.999999999999995,110.416336481091,0,8884.81463722387
7.95,179440,177593.567497499,0.99999660853601,3.39146399078631e-06,1.63215092634893e-31,1,114.705577909024,0,8885.11139858897
8,179440,177458.837521211,0.999996516105394,3.4838946062563e-06,5.11079276556315e-31,1,118.836064426047,0,8885.37623941994
8.05,179440,177324.328299041,0.999996428548501,3.57145150125685e-06,2.80621375486604e-31,1,122.823811825304,0,8885.61023221446
8.1,179440,177190.039394107,0.999996345305162,3.65469483502402e-06,-3.29936538611213e-31,0.999999999999997,126.682298724215,0,8885.81440709966
8.15,179440,177055.970370652,0.999996265897281,3.73410271245615e-06,3.08898418562641e-31,0.999999999999993,130.422996303121,0,8885.98975137394
8.2,179440,176922.120794035,0.999996189913258,3.8100867379266e-06,-2.74061101492962e-31,0.999999999999996,134.055763762578,0,8886.13720992546
6.2,179460,182451.671285486,1,2.04915495087374e-25,1.79446115360539e-31,1,0,-145.14776973129,8851.92942514007
6.25,179460,182308.930689984,1,-1.63701121165879e-25,2.45105409383099e-31,1,0,-141.66774322278,8854.81727854161
6.3,179460,182166.426874784,1.00000000000001,-9.38053234501861e-26,5.11277215857846e-31,1.00000000000001,0,-138.10347461244,8857.50984539453
6.35,179460,182024.15936143,1.00000000000002,-4.04805208606624e-25,-3.50918104573634e-31,1.00000000000002,0,-134.44826612173,8860.02140481224
6.4,179460,181882.127672714,0.999999999999998,-1.88726251805982e-25,4.37771042381686e-31,0.999999999999998,0,-130.694489826922,8862.36475294295
6.45,179460,181740.331332678,1.00000000000001,1.69008583706848e-26,-1.84535983114225e-31,1.00000000000001,0,-126.833396364212,8864.55137234619
6.5,179460,181598.769866607,0.999999999999994,5.39048430138686e-25,1.09092832187355e-31,0.999999999999994,0,-122.854869892484,8866.5915742054
6.55,179460,181457.442801026,1,3.82018700434919e-25,3.03610611507421e-31,1,0,-118.747109624651,8868.49461672137
6.6,179460,181316.349663693,1.00000000000001,-5.58380640064454e-25,-4.27096458620482e-31,1.00000000000001,0,-114.496209100596,8870.26880193946
6.65,179460,181175.489983601,0.999999999999985,2.28902853722258e-25,9.19569440832761e-32,0.999999999999985,0,-110.085589963693,8871.92155212259
6.7,179460,181034.863290971,1,2.45032795746211e-25,2.40920407007844e-32,1,0,-105.495223579421,8873.45946541272
6.75,179460,180894.469117247,1,2.09831569329233e-24,-1.49189679269177e-31,1,0,-100.700534423337,8874.88834861951
6.8,179460,180754.306995095,0.999999999999994,-2.28505535297404e-24,-2.13102865881793e-31,0.999999999999994,0,-95.6708101446007,8876.21322202238
6.85,179460,180614.376458396,0.999999999999991,1.34613854391069e-24,-2.78019887523608e-31,0.999999999999991,0,-90.3668165203359,8877.43828593864
6.9,179460,180474.677042247,1,-1.50625193900133e-26,-1.02023571418346e-31,1,0,-84.7370695835674,8878.56682911126
