mode,level_pct,sample,delta_d1_pct,delta_d2_pct,delta_w1_pct,delta_w2_pct,delta_g_pct,geometry_valid,solver_ok,strict_sigma_ratio,strict_raw_residual,full_sigma_ratio,full_raw_residual,threshold_amplitude_error,finite_open_amplitude_error,strict_threshold_amplitude,strict_sigma_over_baseline,strict_raw_over_baseline
joint,5,51,-4.18771057940698,0.521283374973325,-2.87413034237358,2.189403837365,-4.51693723105211,1,1,0.14005431046522,0.578656826735593,0.10448864492605,0.641434993290884,0.7822479782817,0.133585237966301,0,769.09666172506,260.677173991136
joint,5,52,0.400354959710195,2.79548107631583,-2.54852201352056,3.01815454624839,-1.65070080562163,1,1,0.133056771257756,0.5951595727281,0.0960773079361102,0.648914289452566,0.661073578759703,0.109580913931719,0,730.670253948862,268.111440709613
joint,5,53,-4.85377678725501,-2.63951537108122,-0.664721387149302,-1.8468203270233,4.85216582948528,1,1,0.0583124073121325,0.615178507811689,0.0401004637465511,0.556529939121703,0.236336726407249,0.0846448641741064,0,320.217761609346,277.129703664086
joint,5,54,0.909311166469151,4.38955095664696,4.10954797802459,2.60142967019229,3.54145340498033,1,1,0.200975915459375,1.21889539095451,0.0843467989169966,0.51823741615574,0.699608164149252,0.0568858872625548,0,1103.64261659285,549.096098454961
joint,5,55,-3.30716064113723,-3.25763943941844,1.24865627813504,-1.64185062604698,-2.84766024968382,1,1,0.0567539065339677,0.559433767964495,0.0113893579205105,0.146562150722216,0.305842433738534,0.0213931021231541,0,311.659383493021,252.017442688588
joint,5,56,2.02038160635201,-1.15319002658061,-4.85184091590982,-1.73902635438635,0.902937625753744,1,1,0.20470656720113,0.55088205638147,0.156107302864749,0.597283736776955,0.945627247779517,0.215369217097609,0,1124.12918206243,248.165010806247
joint,5,57,-3.74658607723761,-1.00913572989663,-4.72474560406974,-0.81786187654171,1.14594440358231,1,1,0.18333667512136,0.547163753038061,0.128282879144429,0.584950693687282,0.977871475785868,0.0976559648595259,0,1006.77818725633,246.489964798288
joint,5,58,2.14101416479945,2.08066510063181,-4.28297892536721,-3.15713345222429,4.5600915765356,1,1,0.194582399142844,0.54312484196809,0.151069424964566,0.600535378501249,0.901115763731811,0.214694549396892,0,1068.53315056217,244.670489290393
joint,5,59,-0.180356798134426,4.35094379496237,-4.00667323283023,-4.65858857055878,4.4751570212693,1,1,0.181583910547417,0.533335468633056,0.137656667948191,0.592150477133392,0.892956544238677,0.189354751789282,0,997.153025573471,240.260507314519
joint,5,60,-3.78949736898351,0.0301278623063062,-2.32630334558622,3.60379176149712,-0.281198443313957,1,1,0.120989893368482,0.599065384833912,0.0881535551537148,0.656280174407081,0.661444425335518,0.119013771329571,0,664.405992097462,269.870956911344
joint,5,61,-0.020287297542434,-0.96570205568892,-2.46416126773888,0.335342954893877,0.74221092652333,1,1,0.127943729496232,0.583346064928912,0.0952071000180543,0.635172482457509,0.645113142432326,0.0978059728245365,0,702.592408026187,262.789613184676
joint,5,62,1.98423153963351,3.98908252788615,-2.15160462707379,-2.33979743732561,3.14154449985261,1,1,0.116246910674373,0.577342722878301,0.0774910057564117,0.612660119575917,0.572568459123545,0.077279719611161,0,638.360294935111,260.085187749857
joint,5,63,-0.822688408854926,2.92000691281915,4.73851939753967,-1.28375209290891,-1.9332295399738,1,1,0.20245286092005,1.15670757419615,0.0736954439467347,0.485812291412767,0.719698046863341,0.0319814948832504,0,1111.7531404288,521.081317361476
joint,5,64,1.35177213009895,-2.05082938157985,2.12401147337153,-3.16186742834927,-3.14879954900447,1,1,0.134424492866507,1.14922263465342,0.054351371472534,0.42819227570821,0.530692406448216,0.0901066545248455,0,738.180984036108,517.709452039329
joint,5,65,3.41768353728069,2.14032083864455,1.8376792982137,0.184177212575884,-2.33309498394966,1,1,0.138988860444845,1.15779593085354,0.0717661690993197,0.479638912232291,0.499487973517867,0.113219466333707,0,763.245831063845,521.571607503465
